tweet_id,tweet_url,conversation_id,created_at,lang,source,text,is_reply,in_reply_to_id,in_reply_to_user_id,in_reply_to_username,is_limited_reply,is_retweet,is_quote,like_count,retweet_count,reply_count,quote_count,view_count,bookmark_count,engagement_total,hashtags,hashtags_count,menciones,menciones_count,urls,urls_count,author_username,author_id,author_name,author_followers,author_following,author_verified,author_description,author_location,author_created_at,author_total_tweets,author_total_likes,author_total_media,candidato_nombre,candidato_pais,candidato_vuelta,periodo_busqueda,capturado_en
1910472666097869108,https://x.com/LuisaGonzalezEc/status/1910472666097869108,1910472666097869108,Thu Apr 10 23:19:13 +0000 2025,es,Twitter for iPhone,"Este el momento de la gente, el momento de Ecuador 🇪🇨

Juntos, con fuerza y esperanza, vamos a construir el país que soñamos. Porque cuando el pueblo despierta, la historia cambia. ¡Lo vamos a lograr! 💪🏻

#LuisaPresidenta
#LuisaPorLaVida 🇪🇨 https://t.co/G2SPAD5edw",False,,,,False,False,False,1041,438,70,5,15472,6,1554,LuisaPresidenta | LuisaPorLaVida,2,,0,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460629
1910466129622954395,https://x.com/LuisaGonzalezEc/status/1910466129622954395,1910466129622954395,Thu Apr 10 22:53:14 +0000 2025,es,Twitter for iPhone,"Yo elegí la verdad. Y sigo firme en ese camino.

Desde siempre enseñé a mis hijos que la verdad ilumina, y que solo con la verdad se construye un país que quiere levantarse.

En este año y medio nos llenaron de mentiras, y el país quedó en ruinas.
Yo elegí mirar a los ojos, decir lo que voy a hacer y cumplirlo.

Mi compromiso es con la verdad, con ustedes, con el Ecuador.

#LuisaPresidenta
#RevivirEcuador
#PorLaVida ✊🏽🇪🇨🤝🏽",False,,,,False,False,False,2704,1067,239,25,35479,23,4035,LuisaPresidenta | RevivirEcuador | PorLaVida,3,,0,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460646
1910465526888792248,https://x.com/LuisaGonzalezEc/status/1910465526888792248,1910465526888792248,Thu Apr 10 22:50:51 +0000 2025,es,Twitter for iPhone,"Faltan tres días para dejar atrás el miedo y recuperar la paz. 

Este 13 de abril elegimos esperanza, elegimos vida, elegimos vivir sin miedo. 💙🇪🇨

#LuisaPresidenta
#LuisaPorLaVida https://t.co/N39DooUieR",False,,,,False,False,False,1463,547,153,15,27202,4,2178,LuisaPresidenta | LuisaPorLaVida,2,,0,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460667
1910451211205046452,https://x.com/LuisaGonzalezEc/status/1910451211205046452,1910451211205046452,Thu Apr 10 21:53:57 +0000 2025,es,Twitter for iPhone,"🟢 #EnVivo | Cierre de Campaña en mi bella Guayaquil 🎉 

 https://t.co/SUfM9Ahpm0",False,,,,False,False,False,1562,611,95,21,37565,18,2289,EnVivo,1,,0,https://x.com/i/broadcasts/1zqKVjpzablKB,1,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460686
1911207703420064244,https://x.com/ABELNIQUINGA/status/1911207703420064244,1911096651197853841,Sat Apr 12 23:59:59 +0000 2025,qme,Twitter for iPhone,@AlmaMiaEcu @jantopicecuador @LuisaGonzalezEc https://t.co/XSrQAbsfhZ,True,1911096651197853841,,,False,False,False,0,0,0,0,5,0,0,,0,AlmaMiaEcu | jantopicecuador | LuisaGonzalezEc,3,,0,ABELNIQUINGA,235209237,Abel_Niquinga_Ruiz,654,2941,False,,"Quito, Ecuador",Fri Jan 07 16:39:52 +0000 2011,21340,0,13338,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460708
1911207683224404094,https://x.com/JoseaAlbertoOr1/status/1911207683224404094,1910836820461449303,Sat Apr 12 23:59:54 +0000 2025,es,Twitter for iPhone,@MariluBurbano @LuisaGonzalezEc Es al revés.  Hablas pendejadas.,True,1911025898972725428,4725656584,MariluBurbano,False,False,False,0,0,0,0,47,0,0,,0,MariluBurbano | LuisaGonzalezEc,2,,0,JoseaAlbertoOr1,1537099546387439616,Josea Alberto Ortiz,1,12,False,,,Wed Jun 15 15:48:35 +0000 2022,466,43,0,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460724
1911207637892366640,https://x.com/FabricioSo30793/status/1911207637892366640,1908589312477643080,Sat Apr 12 23:59:44 +0000 2025,es,Twitter for iPhone,@LuisaGonzalezEc @FFAAECUADOR Eres bien cínica mamá Lucha,True,1908589312477643080,276273248,LuisaGonzalezEc,False,False,False,0,0,0,0,9,0,0,,0,LuisaGonzalezEc | FFAAECUADOR,2,,0,FabricioSo30793,1692554802352320512,Fabricio Sotomayor,14,197,False,,,Fri Aug 18 15:11:39 +0000 2023,1287,6823,8,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460740
1911207500365385894,https://x.com/carolgrillito/status/1911207500365385894,1911207500365385894,Sat Apr 12 23:59:11 +0000 2025,es,Twitter for iPhone,"¡ATENTI!

Mañana será distinto. 

Aunque nos quieran montar un fraude, la mayoría sabe que el abuso de poder no debe ni puede continuar.

Con @LuisaGonzalezEc sabremos reconstruir la democracia para TOD@S. https://t.co/ij3vePse7K",False,,,,False,False,False,422,184,10,4,3796,0,620,,0,LuisaGonzalezEc,1,,0,carolgrillito,1767330972838535168,Carol Murillo Ruiz,1617,1007,False,,"Quito, Ecuador",Mon Mar 11 23:25:43 +0000 2024,7058,303,30,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460755
1911207488172470538,https://x.com/venyork/status/1911207488172470538,1911096469647479007,Sat Apr 12 23:59:08 +0000 2025,qme,Twitter for iPhone,@DavidNoreroC @LuisaGonzalezEc https://t.co/S6QqxWPqOQ,True,1911096469647479007,336830921,DavidNoreroC,False,False,False,0,0,0,0,2,0,0,,0,DavidNoreroC | LuisaGonzalezEc,2,,0,venyork,53515714,Ven York,135,51,False,,,Fri Jul 03 22:17:18 +0000 2009,45214,64,20527,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460771
1911207446141415540,https://x.com/LaFloryLaFabula/status/1911207446141415540,1911207446141415540,Sat Apr 12 23:58:58 +0000 2025,es,Twitter for iPhone,".@Masterpichulon corrección 
El GDO @Jombriel1 aparece bailando con  ALIAS
RANA RENE @LuisaGonzalezEc",False,,,,False,False,True,0,0,0,0,30,0,0,,0,Masterpichulon | Jombriel1 | LuisaGonzalezEc,3,,0,LaFloryLaFabula,2926266304,Nena 👠🇪🇨,670,1106,False,,"England, United Kingdom",Wed Dec 17 02:45:20 +0000 2014,108749,65211,318,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460788
